speaker,words,timestamp
"[Plays ""Nieta"" by Harold Land, from Harold In The Land Of Jazz, Contemporary Records (1958). Personnel: Rolf Ericson: trumpet; Harold Land: tenor saxophone; Frank Butler: drums.]",https://www.youtube.com/watch?v=RjudDKOZxYU,
Paul Desmond,Okay.,00:00:01
Leonard Feather,Well.,00:00:05
Paul Desmond,Oh all set?,00:00:06
Leonard Feather,Just to be safe.,00:00:07
Paul Desmond,"That sounded quite a bit more like Clifford, like Max Roach and Clifford Brown and... That's a good record. I don't especially want to hear it again, but I enjoyed it while it was going. Give it three stars.",00:00:17
Leonard Feather,"Did any individuals stood out, anything? Tenor? Rhythm section, tune, anything else?",00:00:41
Paul Desmond,It was all very competent. Nobody stuck out especially. It's like it had a very good group sound.,00:00:52
Leonard Feather,Okay. Any particular preference coast wise? What would you say?,00:00:59
Paul Desmond,"Well, it certainly sounds New York-ish.",00:01:05
Leonard Feather,Yeah.,00:01:06
"[Plays ""Improvisation"" by Buddy Collette, from Buddy Collette's Swingin Shepherds, EmArcy Records (1958). Personnel: Buddy Collette: flute; Paul Horn: piccolo; Bud Shank: alto flute; Harry Klee: bass flute.]",https://www.youtube.com/watch?v=vjftMjBP2Fg&t=991s,
Paul Desmond,That was wild.,00:01:08
Leonard Feather,Yeah (laughs).,00:01:14
Paul Desmond,"I liked the writing very much if it was written, and if it wasn't written I like it even more.",00:01:16
Leonard Feather,Yeah. Was it hard to tell?,00:01:21
Paul Desmond,"Yeah. At first, it sounded as if it must've been written and towards the end more and more it seemed too random to be written. Which could be very good writing or very good playing or luck. No, eliminate luck. With more than two people it takes more than that.",00:01:25
Leonard Feather,Yeah.,00:01:44
Paul Desmond,But I liked it very much. I would imagine it would have to be on the East coast somehow because I think there's more flute players out here. There seem to be an awful lot of them on their record. Is it one of those Herbie Mann organizations?,00:01:45
Leonard Feather,Was it possible to guess at the instrumentation? Or was that too hard to tell?,00:01:59
Paul Desmond,Well the only thing I could hear was an alto flute and a collection of flutes and a piccolo and some kind of hand-played drum.,00:02:08
Leonard Feather,Yeah that's about it. Well as long as you liked it that's the main thing. What would you rate it out of five?,00:02:22
Paul Desmond,"Three, three and a half.",00:02:23
Leonard Feather,"Yeah, okay.",00:02:29
[Plays unknown song],,
Paul Desmond,"Wilder was doing it, if you want to know the truth. It sounds like those Monday night studio musicians, woodwinds workshop groups, which are great to play in, but I don't think people should have to listen.",00:02:38
Leonard Feather,Yeah that's right. Well you wouldn't recognize anybody.,00:02:54
Paul Desmond,"No. I'd say, well, it's hard to... Well about the three stars academically for the musicianship involved in playing it that well.",00:03:06
Leonard Feather,Yeah.,00:03:30
Paul Desmond,But no star for the idea of doing it. Not as a jazz record anyway.,00:03:30
[Plays unknown song],,
Leonard Feather,Five stars. Don't give any five unless you think it's sensational.,00:03:38
Paul Desmond,"Well, I think it's a good idea.",00:03:55
Leonard Feather,What's a good idea?,00:03:56
Paul Desmond,"Wait, no, actually I better clarify that. I've heard Dizzy play Begin the Beguine. I think with some kind of a rhythm, but that certainly wasn't it. I don't think unless I'm losing my mind.",00:03:58
Leonard Feather,You're...,00:04:09
Paul Desmond,"And I enjoyed that, but I don't enjoy this. It was much too overwritten and ornate and oppressive. I... I don't know if it was the musicians' fault, they all seemed to play pretty well. But I don't like the arrangement or again, the idea of doing that particular thing.",00:04:13
Leonard Feather,Yeah.,00:04:33
Paul Desmond,Seems to get harder to find records that you just like to listen to.,00:04:35
Leonard Feather,You mean as opposed to having to study them all or what?,00:04:40
Paul Desmond,"Having to react to them, I suppose.",00:04:45
Leonard Feather,"Well, yeah.",00:04:45
Paul Desmond,"I- I started out sort of being conservative with the amount of stars in the theory that eventually I would reach something that I would want to give five stars to, but it seems to be working the other way. And I was never very good at fractions. I don't know. I guess two stars.",00:04:58
"[Plays ""Margo"" by Teddy Charles, from New Directions 4, Prestige Records (1954). Personell: Teddy Charles: vibes, piano, composer; Shorty Rogers: trumpet; Jimmy Giuffre: tenor saxophone; Shelly Manne: drums; Curtis Counce: bass.]",,
Paul Desmond,"Curiouser and curiouser. I have no idea who they were, but I enjoyed listening to it very much. I would like to listen to it many times again. It had that air of improvisation about it again, which puzzles me because I don't think that could have all been improvised, but it certainly had the feel.",00:05:21
Leonard Feather,Yeah.,00:05:49
Paul Desmond,"Because if it was, it was certainly by very harmonically sophisticated guys.",00:05:49
Leonard Feather,Sure.,00:05:59
Paul Desmond,"It was beautiful, very moody and reflective. Four...",00:06:00
Leonard Feather,Four stars?,00:06:04
Paul Desmond,Four and a half stars. I don't know what I'm saving that half a star for.,00:06:07
Leonard Feather,"Well, maybe the real thing will come along. Any coast, ideas on that?",00:06:11
Paul Desmond,Well it certainly doesn't fit in with the stereotype of either coast and I imagine the individuals could be from both coasts. It's much more of an individual thing than anything else.,00:06:15
[Plays unknown song],,
Paul Desmond,"We have to wonder whether your selection of records represents journalistic foxiness or musical taste. Well, again I don't know who it was. Maybe Marge Hyams or somebody like that. I didn't like it very much. It... Oh. Playing accordion is sort of a self inflicted occupational hazard that requires an awful lot in the way of content to justify it. Which in this case didn't happen. I had, sort of had that, oh, 50% better than Muzak feeling. I'd say two stars.",00:06:35
"[Plays ""It's a Bore"" by Andre Previn, from Modern Jazz Performances Of Songs From Gigi, Contemporary Records (1958). Personnel: Andre Previn: piano; Red Mitchell: bass; Shelly Manne: drums.]",https://www.youtube.com/watch?v=SgMuWRburB0,
Paul Desmond,Well that was Andre and Shelly. One of those show tune albums. I love that rhythm section.,00:07:36
Leonard Feather,Yeah.,00:07:45
Paul Desmond,And Andre seems to be getting closer and closer to his goals of sounding like Horace Silver.,00:07:45
Leonard Feather,"Yeah, he sure does.",00:08:01
Paul Desmond,Three and a half stars.,00:08:01
[Plays unknown song],,
Paul Desmond,"It's a wonderful sound to hear again. That's got to be Gerry and Chet. Unless, well in this kind of a test, I should never say things like that because if there exists an expert duplication, I'm sure you'd be playing it for me. But I still think that's Gerry and Chet. It certainly isn't the best thing they've done, but it has a nostalgic value. If there is anything to be said about West coast or East coast jazz. If you're classified Gerry Mulligan's group as West coast, which is kind of silly because it just happens to be where they were at when they met.",00:08:05
Leonard Feather,Yeah that's always...,00:08:46
Paul Desmond,I would say this is one of the most valid things to come out of the West coast.,00:08:47
Leonard Feather,Yeah.,00:08:50
Paul Desmond,"And they've done a number of remarkable things. Four stars. Oh, maybe I'm being nostalgic.",00:08:51
Leonard Feather,Well.,00:09:13
Paul Desmond,It sounded good. I liked to hear it.,00:09:13
Leonard Feather,Like the rhythm section?,00:09:15
Paul Desmond,I was... It was okay. It wasn't too demanding a situation for a rhythm section. So it's hard to tell.,00:09:19
Leonard Feather,Yeah.,00:09:34
"[Plays ""Red Pepper Blues"" by Art Pepper, from Meets The Rhythm Section, Contemporary Records (1957). Personnel: Paul Chambers: bass; Philly Joe Jones: drums; Red Garland: piano.]",https://www.youtube.com/watch?v=gG-2pGIH54A,
Paul Desmond,"This reminds me of that blindfold test that Bill Russo took where he heard a Lee Konitz record, said it sounded as if he had fallen back into the mainstream. Which killed me at the time because it seems awful to think that you would change your playing after careful consideration and have somebody else interpret it as an unfortunate accident.",00:09:34
Leonard Feather,Yeah.,00:09:57
Paul Desmond,"And my first thought was if it's Lee, he's drowning. Somebody should save him. I shouldn't say all these things. Can I edit this later?",00:09:58
Leonard Feather,No.,00:10:11
Paul Desmond,"That's not fair. And I guess it was probably Bud Shank and I sympathize with him because I have the same problem in my occupation, which is to... It's a problem of one who was sort of raised in the atmosphere of cool jazz, trying to sound hostile enough to be currently acceptable.",00:10:11
Leonard Feather,Yeah.,00:10:37
Paul Desmond,"Why am I saying all this? It was well done, but it wasn't really too moving.",00:10:39
Leonard Feather,How about the piano?,00:10:49
Paul Desmond,"Piano sounded a little more authentic, but it's easier to do that on piano. You don't have the problem of sound.",00:10:54
Leonard Feather,Yeah.,00:10:59
Paul Desmond,It's easier to shift.,00:10:59
Leonard Feather,True.,00:11:00
Paul Desmond,"And there never was... Well piano has pretty much sounded the same throughout all this, more so than horns. There's an aura of kind of competent funkiness about this. But it seems superficial and not as if it's really meant somehow.",00:11:01
Leonard Feather,Any comment on the bass solo?,00:11:31
Paul Desmond,I honestly didn't hear it.,00:11:35
Leonard Feather,It was an arco solo.,00:11:36
Paul Desmond,Oh.,00:11:39
Leonard Feather,Well I guess-,00:11:41
Paul Desmond,"Could you, could you play it again, and I'll be happy to-",00:11:42
Leonard Feather,"If you want me to. No, it wasn't that important. I can if you like.",00:11:44
"[Skips, the following dialogue is related to the previous record.]",,
Paul Desmond,Philly Joe Jones.,00:11:48
Leonard Feather,Yeah.,00:11:49
Paul Desmond,Are we still going?,00:11:50
Leonard Feather,Yeah.,00:11:50
Paul Desmond,"Sounds like like Paul Chambers and Philly Joe Jones, which I suppose would mean that the alto player was Art Pepper. But the situation remains pretty much the same.",00:11:51
Leonard Feather,Did you rate it?,00:12:00
Paul Desmond,"No, I didn't. Let's see if Tom James was two stars... Hard to... I sympathize with you.",00:12:02
Leonard Feather,Well two is fair and three is good.,00:12:19
Paul Desmond,I'd say three and a half for just a very good but uninspired job.,00:12:25
Leonard Feather,All right.,00:12:39
