speaker,words,timestamp
Leonard Feather,"Adderley brothers blindfold test, record number one.",00:00:10
"[Plays “Surrey with the Fringe on Top” by Kai Winding, from Kai Ole, Verve Records (1961) Personnel: Kai Winding: trombone, arranger; Clark Terry: flugelhorn; Phil Woods: alto saxophone.]",,
Nat Adderley,Clark Terry.,00:00:32
"Julian ""Cannonball"" Adderley",That’s right Clark Terry.,00:00:34
Nat Adderley,"Best thing on the record, Clark Terry.",00:00:36
"Julian ""Cannonball"" Adderley","I like the arrangement, I thought it was pretty hip. I don't know what they intend though, you know when I listened to that kind of thing I don't know whether they intend, to say they I mean I don't know whether this is an arrangers record or whether it’s a band I know it's not a band just Clark Terry Studios in New York so it's you know, some kind of writers kind of record or something of that nature and I don't know whether they are trying to reach a jazz market or pop market but what they're trying to do because it's got enough elements of all of that to be any kind of thing you know nothing artistically shattering but uh I thought it was very well done and very well played.",00:00:38
Leonard Feather,Did you hear that little flash of alto there?,00:01:30
"Julian ""Cannonball"" Adderley","Yeah what I didn't have an idea who that was and it was I thought for a minute, it might have been Quill. But I don’t know who it was.",00:01:32
Nat Adderley,"I didn’t dig that alto too much, nice to hear the alto player playing with feeling and, and these days and times most of these alto players, most of these jazz musicians play with no more feeling, say a few years ago.",00:01:41
Leonard Feather,Yeah.,00:01:58
Nat Adderley,"The alto wasn't startling Clark Terry was very good, arrangement got to be kind of monotonous as it wore on and on and on with this thing to me. But I think all in all, it was a good record. Do you want to rate it on a basis?",00:02:00
Leonard Feather,"Well you know, two is fair, three is good, four is very good, five is tough.",00:02:11
Nat Adderley,Three and a half.,00:02:15
"Julian ""Cannonball"" Adderley",Okay.,00:02:17
Leonard Feather,You’re gonna do three and a half?,00:02:19
"Julian ""Cannonball"" Adderley",Yeah.,00:02:19
"[Plays “Old-Fashioned Love” by Benny Carter from Jazz Giant, Contemporary Records (1958) Personnel: Benny Carter: alto saxophone; Ben Webster: tenor saxophone; Frank Rosolino: trombone; Andre Previn: piano; Barney Kessel: guitar; Leroy Vinnegar: bass; Shelly Manne: drums.]",https://www.youtube.com/watch?v=eK8RaqtlvuE,
Nat Adderley,I’m gonna let you have this one.,00:02:31
"Julian ""Cannonball"" Adderley",Yeah? Well.,00:02:33
Nat Adderley,"Mostly, except I’m gonna make my statement about the rhythm section.",00:02:35
"Julian ""Cannonball"" Adderley","Well, I tell you. I know, of course, who most of the cats are. The only cat that I don't think I can identify by now is the drummer.",00:02:38
Leonard Feather,Yeah?,00:02:48
"Julian ""Cannonball"" Adderley","And it's probably just as well, because it sounds like Benny Carter with the with the giants. Funny thing about this, you know I've always said that a truly great player. Sort of hardly confines themselves to a school. You know, I can hear Dizzy Gillespie playing with an early recording with Duke. I can I can hear Dizzy Gillespie playing with Basie or with a small group or with a swing group quite a thing. I think Dizzy could’ve fit right in this just as well.",00:02:50
Leonard Feather,Yeah.,00:03:22
"Julian ""Cannonball"" Adderley","And I sort of feel the same thing. I don't mean that everybody spans everything with as a definite overlapping of influences. And this, this kind of personnel because like Andre Previn could be a swing player or a modern player. And, and Leroy Vinnegar being the type bass player he is he can fit with the most hip modern jazz group, or in this case, a group that feels larger like a swing group. And Frank Rosolino plays well, in this group, he's sounds very well. So does Ben, in fact Nat identified Ben in the ensemble which was beautiful to me, you know. Very interesting, though, I think that when you listen to this guy, hippies probably won't agree with me. When I say hippies, I don't mean that derogatory, it's a feeling, a school of feeling, I mean, the hippies will probably say, Well, you know, what is that? You know, but I think that one should listen to everything and its own context, according to itself. And I think this is a good record, especially with these cats, you know, because for them to get together with all these different ideas and get a unity of feeling with the possible exception of the rhythm section, I don't know. In the section itself, it got a little funny.",00:03:23
Nat Adderley,That’s right.,00:04:40
"Julian ""Cannonball"" Adderley",But the general overall feeling was great to me. And I love Benny.,00:04:42
Nat Adderley,"I think the rhythm section sounds like that. Well, you know, Andre is great and Leroy is great and I don't know who the drummer is, but he’s in that company he’s probably great too. And I think that was out the three of them playing together. Maybe it would have a better feel. You know, everybody doesn't always play well together. You can take the three greatest cats in the world and they may not necessarily fit with each other.",00:04:47
"Julian ""Cannonball"" Adderley","Don’t forget though it’s four of ‘em, Barney Kessel’s there too.",00:05:11
Nat Adderley,Excuse me.,00:05:13
Leonard Feather,"That’s right, yeah.",00:05:14
Nat Adderley,"Pardon me. Well, I think what I mean is the rhythm section was a little stiff at times.",00:05:16
Leonard Feather,Yeah.,00:05:23
"Julian ""Cannonball"" Adderley","But for each cat’s statement and the context of that tune, the traditional changes and so forth. I thought it was a good four star effort.",00:05:24
