speaker,words,timestamp
"[Plays ""Moanin'"" by Ray Charles, from Genius+Soul=Jazz, Impulse! Records (1961). Personnel: Ray Charles: organ; Bobby Timmons: composer.]",,
Leonard Feather,"I guess you've heard that before, haven't you?",10:30
Art Blakey,"Yeah, I like that. Ray Charles. A lot of bands have recorded that too, Bobby ought to be rich.",10:45
Leonard Feather,"How long has it been since you introduced that? You made the first record, didn't you?",11:01
Art Blakey,"It's only four years, seems like longer, so much happened.",11:03
Art Blakey,Yeah.,11:13
Leonard Feather,You think that arrangement?,11:13
Art Blakey,"He came up on, didn't he?",11:14
Leonard Feather,"Yeah, he sure did.",11:16
Art Blakey,"He was fooling around out there in Columbus, Ohio. He had been banging around the piano. We just had a rehearsal one day and put it together.",11:16
Leonard Feather,Is that right?,11:27
Art Blakey,"Then he goes, ""What was that?"" Put it together. He made Bobby put it together because he wasn't going to do it. He was thinking about, I don't know. He was just messing around with some chords.",11:27
Leonard Feather,Yeah.,11:41
Art Blakey,"And he put it together, it was a good thing.",11:42
Leonard Feather,Do you think this arrangement got the right spirit with feelings of...,11:47
Art Blakey,"Yeah, for a big band I think it was wonderful at the time, that they had been playing it together. Of course we play it over every night and it begins to be better.",11:54
Leonard Feather,"Gels, yeah.",12:09
Art Blakey,"Gels. And the way that Benny and Lee would work together on it, how they attacked. It's not as many people.",12:10
Leonard Feather,"Yeah, that's easier to get them...closer together",12:19
Art Blakey,"It's easier to do it, yeah.",12:26
Leonard Feather,Do you think it was pretty good considering that?,12:26
Art Blakey,"Yeah. It's good for what they had to do, that's something.",12:27
Leonard Feather,"What do you say about three stars worth, good? It's a little rating you know. Five is the top.",12:31
Art Blakey,"Well, it's a good record, yeah. It's very good because I see him and I liked the way it went down.",12:42
Leonard Feather,"Yeah. All right, let me see. The guy got an exquisite arrangement.",12:52
"[Plays ""Evad Smurd"" by Dave Bailey, from Gettin' into Somethin', Epic Records (1961). Personnel: Dave Bailey: drums; Clark Terry: trumpet, composer; Curtis Fuller: trombone.]",,
Unknown Speaker,"All those pictures we haven't decided on them, so.",13:13
Leonard Feather,"Oh, [crosstalk 00:13:14].",13:14
Unknown Speaker,I'll ask tonight and pick [crosstalk 00:13:14].,13:14
Leonard Feather,"Oh, that's right, you'll all be down to the public before you close anyway.",13:14
Unknown Speaker,"Well, our problem is I have no...to get to them.",13:14
Leonard Feather,"All right, fine, sure. Yeah, there's no rush on that, anytime before you leave town.",13:14
Unknown Speaker,Yeah.,13:19
Leonard Feather,"Did you say when that was, Art?",13:19
Art Blakey,"Oh, I don't know.",13:23
Leonard Feather,You start up thinking you know and changed your mind. Well anyhow.,13:24
Art Blakey,That's Clark Terry.,13:30
Leonard Feather,"Sure enough, can't mistake him.",13:31
Art Blakey,"No. Bobby Brookmeyer, isn't it?",13:36
Leonard Feather,"Yeah, I haven't noticed him.",13:36
Art Blakey,"Bobby Brookmeyer, I think it is. I don't know.",13:46
Leonard Feather,What did you think of it?,13:47
Art Blakey,"I liked that, that's good.",13:48
Leonard Feather,Good drumming technique?,13:49
Art Blakey,Sure.,13:51
Leonard Feather,"The whole thing because, it was the...",13:51
Art Blakey,"He had a hell of a beat, he had a good beat. He sounds like a lot of people I know.",14:00
Leonard Feather,"What groove would you say it is? What style of drums do you think he's listened to? He played disco, can't you tell.",14:19
Art Blakey,"Well, I think that he listened to everybody. I guess it's either O.C or Dave Bailey. It's either one of them two.",14:25
Leonard Feather,That's right.,14:40
Art Blakey,It was O.C?,14:44
Leonard Feather,"When he threw up I'll tell you who it was, it was one of those two though, you're right. What would you say> That they were just very efficient all-round drummers, or what?",14:46
Art Blakey,"Sure. I know they were. I was thinking of that, it was O.C because of the arrangement, I know O.C writes.",14:59
Leonard Feather,"Yeah, all right.",15:07
Art Blakey,Write things like that.,15:09
Leonard Feather,That's true. How would you rate it?,15:11
Art Blakey,Is that it?,15:17
Leonard Feather,"No. It's down on the floor somewhere, I'll get up. No, one is poor, two is fair, three is good, four is very good and five is sensational.",15:21
Art Blakey,"Well, it's four.",15:30
Leonard Feather,"Four? All right. And the other one before, Moanin', what do you give that?",15:35
Art Blakey,That's four.,15:35
Leonard Feather,"Four so far? Yeah, that was Dave Bailey. And of course Clark Terry. Just a moment.",15:35
"[Plays ""I Didn't Know What Time It Was"" by Joe Morello, from It's About Time, RCA Victor (1962). Personnel: Joe Morello: drums; Manny Album: arranger.]",,
Art Blakey,Who was that? That sounds like Quincy's arrangement. [inaudible crosstalk],15:58
Leonard Feather,"Well, the music in question, regardless of who it was. What did it lack, what did it have?",16:12
Art Blakey,"It didn't lack anything. I guess that's the way they wanted to play it, but it didn't lack anything. I don't think big bands is for drummers, because he doesn't have enough freedom to do the things that you want to do, because I think it's too many personalities, or something, to fool with. We need them too, we need big bands but they are not together long enough to have that real feeling that a band should have. If we had big bands on the road like it used to be, the guys get to live with each other, then we have some big band music. But it's pretty hard to take a band and throw it together.",16:32
Leonard Feather,That's what it sounds like.,17:19
Art Blakey,"No, it sounds good, it sounds hitting together but you can tell that they haven't worked together.",17:22
Leonard Feather,Yeah.,17:27
Art Blakey,You're trying to make a good record date and it's very hard. I wish we had more big bands because it would be a school for the cats.,17:28
Leonard Feather,"Yeah, that's true.",17:37
Art Blakey,"It would help so many young kids out, straighten them right up. It would help them but since we don't have them, pretty hard to put a date together.",17:39
Leonard Feather,Yeah.,17:49
Art Blakey,It was a good record.,17:53
Leonard Feather,Good record but it didn't gas you up inside.,17:54
Art Blakey,"Well, I think it was the tempo, it was changing too much for me.",18:00
Leonard Feather,Yeah.,18:11
Art Blakey,"It's good but the tempo changes a little bit too much for me. Well, it's kind of hard to go from one extreme directly into another, unless you're going into a mambo or something.",18:11
Leonard Feather,Yeah.,18:25
Art Blakey,Tasteful into another rhythm.,18:25
Leonard Feather,"I see what you mean, in other words change the meter as well as the tempo.",18:27
Art Blakey,"Yeah. He did it with, you know it gels pretty good in the opening. It sounds like Randy.",18:29
Leonard Feather,Yeah. Did you want to pass on rating that?,18:40
Art Blakey,"Because did would not be the way the cats write today. They write in one mood and then they go into another one, without upsetting the apple cart.",18:41
Leonard Feather,A natural transition.,18:51
Art Blakey,Yeah. To get into it.,18:52
Leonard Feather,"Just let it go that, not rate it, we'll give it fair, two stars.",19:02
Art Blakey,"It's a good arrangement, it was well played and I think they should get some...",19:06
"[Play ""Be-Bop"" by Milt Jackson and John Coltrane, from Bags & Trane, Atlantic Records (1959). Personnel: Milt Jackson: vibes; John Coltrane: tenor saxophone; Hank Jones: piano; Paul Chambers: bass; Connie Kay: drums.]",,
Art Blakey,I haven't got the least idea what it is.,19:29
Leonard Feather,Nevermind that.,19:39
Art Blakey,I'd like to know.,19:40
Leonard Feather,Aha. Does it mean you liked it?,19:41
Art Blakey,Yeah.,19:46
Leonard Feather,Which did you like the best?,19:52
Art Blakey,What?,19:53
Leonard Feather,Which of the guys did you like best? Or what did you like about it?,19:53
Art Blakey,Of this tune?,19:58
Leonard Feather,Yeah.,20:02
Art Blakey,"The rhythm section was good. We play, he was cooking. I don't know what was playing. Somebody I don't know.",20:02
Leonard Feather,"You liked all of them, all the solos?",20:26
Art Blakey,I didn't listen to the solos.,20:38
Leonard Feather,Really?,20:40
Art Blakey,No.,20:41
Leonard Feather,Too busy listening to the rhythm section?,20:41
Art Blakey,"Yes, I was listening to the rhythm section. The solo is something I don't know what happened in there. It just didn't get my attention. The rhythm section had me that time.",20:45
Leonard Feather,"Well, all right.",21:11
Art Blakey,I'm prejudiced.,21:12
Leonard Feather,I guess it's [crosstalk 00:21:13].,21:13
Art Blakey,The rhythm section.,21:13
Leonard Feather,So you didn't notice the [crosstalk 00:21:13]?,21:13
Art Blakey,"Well I'll tell you what I like about horns. I think a man with his horn is like Bird said. What's in a man come out when he plays his instrument. He wasn't too positive about what he was doing because he would get that presence anytime you hear Fat Girl, or you hear Diz or you hear Miles. You've got to listen to them and it's all.",21:13
Leonard Feather,Yeah.,21:41
Art Blakey,"Clifford even wants to listen to him. Lee Morgan, these guys you've got to listen to. Freddie Hubbard, they command your attention while your listening. Not that it command your attention, but something happens. You can do it but this is very important. I think the guys playing the horn, he's got all the best of everything. You've got a melody instrument, you're supposed to get in there. If he don't, the rhythm section is cooking and right behind they're going to take it away from him, he's got no business up there.",21:41
Leonard Feather,Yeah.,22:15
Art Blakey,"You've got that presence, you've got to have presence. Everybody can't but some guys do, be in a solo, some guys.",22:15
Leonard Feather,"Yes, that's right.",22:26
Art Blakey,"Most guys got it. You know Clark Terry, so that's something. Make you listen to him whatever he's playing.",22:27
Leonard Feather,Yeah.,22:38
Art Blakey,"Cullum got that. Benny Goodman had that too man, he make you listen to him.",22:41
Leonard Feather,Yeah.,22:48
Art Blakey,"Regardless of what he's doing. Pops got it. They just make you listen. I'll tell you what, you know what Leonard? You've got to hear Bud Powell.",22:49
Leonard Feather,"Oh yes, he's still making them as well.",23:01
Art Blakey,"Oh, he's cooking.",23:04
Leonard Feather,That's wonderful. I saw him in Paris about three years ago and he was in very good shape then.,23:06
Art Blakey,"Oh, he's in much better shape now.",23:09
Leonard Feather,"Downstairs place, you know the...",23:12
Art Blakey,"Uh, that's where he was working?",23:13
Leonard Feather,Yeah.,23:19
"[Plays ""Big Foot"" by Buddy Rich and Max Roach, from Rich Versus Roach, Mercury Records (1959). Personnel: Buddy Rich: drums; Max Roach: drums.]",,
Art Blakey,"We've got a picture there, look at that pitcure, yeah. Two different men.",23:20
Leonard Feather,How about that one?,23:40
Art Blakey,"That was Buddy Rich, right?",23:42
Leonard Feather,"Well, partly. Art, do you want to hear some of it again?",23:45
Art Blakey,Yeah.,23:49
Leonard Feather,It wasn't all Buddy Rich.,23:49
Art Blakey,Oh?,23:49
Leonard Feather,Just a minute. [Plays excerpt from the same tune]. There you go now.,23:49
Art Blakey,"That's Max and Buddy, right?",25:59
Leonard Feather,That's it.,26:02
Art Blakey,Huh?,26:04
Leonard Feather,"I'm not supposed to say anything, but you guessed it. Here you go. Did you ever hear that before, any of those things?",26:04
Art Blakey,No. Never heard that before.,26:17
Leonard Feather,What do you think of the effect?,26:25
Art Blakey,"The drumming part was good, come off good. And they made it on time, they made the fourth on time which is something. It isn't done, it's always done with exceptional people, exceptional drummers. Because most drummers can't cooperate like that, they try to outplay each other and they ain't cooperating. This was like they cooperated together.",26:34
Leonard Feather,"Yeah, that's right.",27
Art Blakey,"It was nice, it was beautiful. So that's why I thought it was good.",27:01
Leonard Feather,"Very good. The drumming part, what about the rest of it?",27:08
Art Blakey,I didn't...,27:11
Leonard Feather,Pay too much mind?,27:15
Art Blakey,Too much attention to it.,27:16
Leonard Feather,Well it was pretty sloppy.,27:19
Art Blakey,Mm-hmm. Then again they had to get something together real quick.,27:22
Leonard Feather,"Yeah, I guess so. Do you like it or not?",27:25
Art Blakey,Yeah.,27:35
Leonard Feather,Do you want to say anything about either Max or Buddy individually?,27:35
Art Blakey,"Well, I love both of them. Very tight, all of this. That's the way it is, it's a good thing that people get a chance to hear them together.",27:41
Leonard Feather,"Yeah, that's right.",27:57
"[Plays ""Turchentine"" by Barry Miles, from Miles of Genius, Charlie Parker Records (1961). Personnel: Barry Miles: drums].",,
Art Blakey,I haven't got the faintest idea who that was.,28:11
Leonard Feather,"Well, it's not who it was.",28:14
Art Blakey,Huh?,28:14
Leonard Feather,"It doesn't matter. I didn't play it for you to guess it, just to see what you thought. Is anything happening?",28:16
Art Blakey,What do I reckon?,28:28
Leonard Feather,Mm-hmm.,28:28
Art Blakey,"Yeah, they were playing it swinging, as hard as they could.",28:32
Leonard Feather,Regarding the drummer?,28:35
Art Blakey,"He was trying to swing. He was cooking, he kept it together.",28:41
Leonard Feather,Mm-hmm.,28:42
Art Blakey,Kept the thing together. But he was playing very good and once again I didn't listen to the solos.,28:42
Leonard Feather,Maybe they weren't worth listening to.,29:02
Art Blakey,"Maybe, but I think they were. I think they're worth listening to because they're just trying, everybody trying to get it together. I haven't got an idea who it is.",29:07
Leonard Feather,"No, you wouldn't know who this is.",29:24
Art Blakey,Can't figure it out.,29:25
Leonard Feather,Would you give it a good rating? Three or something?,29:28
Art Blakey,"Yeah. Now, who was it?",29:29
Leonard Feather,"Hang on. I'll tell you who this was because it's rather interesting. This is a kid named Barry Miles who's 14 years old. This drummer has been playing around a year now, I think. Ever heard of him?",29:29
Art Blakey,14 years old?,29:43
Leonard Feather,"Yeah, he was playing like this from the age of about nine and he's now 14. It was interesting that you didn't notice that there was something unprofessional about the drumming. Evidently he's pretty damn good for that age. You never heard of him?",29:44
Art Blakey,He's good for any age.,30:01
Leonard Feather,"How about that. This is on Charlie Parker's label. Charlie Parker records, his first album. Isn't that interesting? How about that?",30:03
Art Blakey,Ain't that something?,30:12
Leonard Feather,There's...,30:12
"[Plays ""Little Karin"" by Benny Golson, from Take a Number from 1 to 10, Argo Records (1961). Personnel: Benny Golson: tenor saxophone, composer, arranger].",,
Leonard Feather,How do you like that?,30:29
Art Blakey,That was Benny Golson. Benny Golson arrangement.,30:31
Leonard Feather,Yeah.,30:35
Art Blakey,"I never heard that before either, but I know it was him.",30:40
Leonard Feather,"Yeah, you liked the sound?",30:44
Art Blakey,Yeah.,30:45
Leonard Feather,Pretty huh?,30:46
Art Blakey,Mm-hmm.,30:46
Leonard Feather,How long have you known Benny?,31:01
Art Blakey,"Quite a long time. I met him in Dizzy's band, I met him way before that.",31:04
Leonard Feather,"Oh, really? The old band?",31:13
Art Blakey,Yeah.,31:14
Leonard Feather,"Oh yeah. And he worked for you about a year and a half, was it?",31:15
Art Blakey,"Yeah. He was wonderful too in that band. He's an organization type of guy, everything has got to be straight ahead.",31:25
Leonard Feather,Yeah.,31:45
Art Blakey,"Which is a wonderful thing. But not a thing to deflower, he's got his own, if he could make himself more flexible.",31:45
Leonard Feather,Yeah. You like his sound?,31:57
Art Blakey,He sure writes pretty things.,32
Leonard Feather,And do you like his sound? That kind of sound on tenor?,32:01
Art Blakey,"Yeah, I like that.",32:10
Leonard Feather,Yeah.,32:11
Art Blakey,"Sure, I was raised up in that.",32:12
Leonard Feather,That's right.,32:15
Art Blakey,I like that thing.,32:17
Leonard Feather,Traditional kind of sound.,32:20
Art Blakey,Yeah.,32:21
Leonard Feather,That's good.,32:24
Art Blakey,Very good.,32:24
Leonard Feather,How would you rate that out of five?,32:25
Art Blakey,He should get five for that.,32:31
Leonard Feather,"Very good, our first five star record.",32:32
