speaker,words,timestamp
[Plays unknown song.],,
Leonard Feather,Branford Marsalis blindfold test record number one.,0:00
Branford Marsalis,"My first inclination when I hear the size of the band and the orchestration would be to think Gil Evans, but it's not Gil because he doesn't write like that. Has to be George Russell. He reminded me, it's because I was going to do a big band record.",0:08
Leonard Feather,Oh really?,0:30
Branford Marsalis,"And Thad Jones was writing the arrangements for me when he passed. And one of the songs we were going to do was New York, New York.",0:31
Leonard Feather,No kidding.,0:39
Branford Marsalis,With George Russell. So I had to listen to that song for about four months.,0:40
Leonard Feather,My goodness.,0:44
Branford Marsalis,"And we had come to the conclusion, well I had come to the conclusion, Thad would never say yes or no but, that it was, I couldn't use almost anything that George had done.",0:45
Leonard Feather,Really?,0:57
Branford Marsalis,"Like uh, Get to the ticket, find your ticket, go. That was great. But then when the band started, the arrangement, it's just meandering then nothing. It just goes on and on and on and it doesn't have any point of reference or anything. And I just couldn't... I knew there's no way I could play that, and I just didn't want to hear that on my record.",0:57
Leonard Feather,Is that what you hear here also?,1:21
Branford Marsalis,"Unfortunately, yes. So that's how I knew it was him because it sounded so much, that it reminded me. That's why I kind of giggled because I remember the frustration of figuring out... The second part of the song in New York, New York is great. You know the part where it slows down.",1:22
Leonard Feather,"Oh yeah, yeah.",1:39
Branford Marsalis,"And he starts talking about lack of attentions that can I hide from, but it's the sort of like... That's great harmony. But I think when George was, just my opinion though, when he tried to get very creative and very unusual, it was very unusual, but it just kind of sat there.",1:40
Leonard Feather,Yeah.,1:58
Branford Marsalis,You know what I mean?,2:03
Leonard Feather,"Yeah, I got you.",2:04
Branford Marsalis,I knew this was him after a while.,2:05
Leonard Feather,Yeah.,2:06
Branford Marsalis,"I knew it was, because George Russell is the only other guy that has a band with that kind of instrumentation other than Gil.",2:07
Leonard Feather,"Yeah. Yeah. So, any rating?",2:11
Branford Marsalis,"I don't rate, I don't give rating.",2:16
Leonard Feather,"Well, you could. I mean, it's not that... What you're saying, in effect is you don't think it's just...",2:18
Branford Marsalis,Two stars.,2:26
Leonard Feather,That's what it was. It's from a new album. I think it's new. It's on Blue Note.,2:28
Branford Marsalis,"It's rough, man...",2:32
"[Plays ""You Are The One"" by Chico Freeman, from Tangents, Elektra Musician Records (1984). Personnel: Chico Freeman: composer, tenor saxophone; Steve Coleman: alto saxophone; Bobby McFerrin: vocal.]",https://www.youtube.com/watch?v=Ziyt8cWTeIM,
Branford Marsalis,"Well, the composition was Steve Coleman's. It's Steve Coleman playing saxophone, whom I love and admire the hell out of, I love the way he plays and I love his approach to the music, particularly in composition as well as performance. Bobby McFerrin, I would, presume was singing. I've heard him do about a 100% better than that and this isn't, I think he's still, probably is the premiere voice of the 20th century in terms of the voice, maybe not the interpretation sometimes. The tenor player, I don't know. The only person that came to my mind was Chico Freeman. I don't know if it was him or not. Was that him?",2:44
Leonard Feather,Tell you in a minute.,3:19
Branford Marsalis,"Okay. I don't know if that was him or not, but that was definitely Steve. The drummer...",3:22
Leonard Feather,Who was Steve?,3:27
Branford Marsalis,Steve Coleman. I thought it was Steve Coleman on alto.,3:28
Leonard Feather,You did?,3:31
Branford Marsalis,"Yeah. I think that one of the major problems I had with this record is recording technique. Is this, you can't tell what kind of relationship the drummer and the bass player have because the drummer's in an isolation booth. You can tell he's isolated and separated and it sounds so bad because it never really swings because there's no air, there's no interspersion, there's no group sound. And those kinds of records they always upset me, so that is very hard for me to get to the music because the recording sounds so bad. And I think that subconsciously that happens to a lot of other people as well, and I would use this to make a pitch to get musicians to study more about the acoustics of music, and why things work, and why they don't, and strive for better recording technique. The drummer, taking a shot in the dark, I would, it sounded that, points to me like Billy Hart, but I was never really sure.",3:31
Leonard Feather,Like the composition?,4:26
Branford Marsalis,"I liked it. I don't particularly like the arrangement. I like the composition though. No, I don't particularly... It would sound like Steve, but then it doesn't because it can't be Steve's record to me because Steve stuff is a lot more structured than that, the way that that turned out. Yeah. You know, it's as if there was a whole lot of ifs. It sounded like Steve though, I'd be surprised if it was somebody else.",4:28
Leonard Feather,"Do you want to rate it? Good, three, fair?",4:51
Branford Marsalis,Three...,4:54
Leonard Feather,Two? All right.,4:54
Branford Marsalis,No three. Probably it would have gotten a four if I could distinguish it better. The recording technique brings it down to a three.,4:58
[Plays unknown song],,
